current_queue_length,average_consultation_minutes,time_of_day,day_of_week,emergency_patients_ahead,actual_wait_minutes
5,8.2,15:12,Saturday,1,62.4
4,10.7,14:51,Friday,1,72.6
5,11.5,10:53,Saturday,0,66.4
1,12.6,13:34,Sunday,0,8.9
5,7.0,16:21,Saturday,0,31.3
2,13.4,12:45,Tuesday,0,36.6
1,9.3,13:39,Tuesday,0,12.0
1,10.1,11:16,Sunday,0,6.1
8,15.5,09:36,Monday,0,175.7
2,5.5,08:39,Sunday,0,12.7
3,13.0,12:03,Sunday,0,36.9
5,13.0,14:19,Monday,2,138.8
4,9.5,15:36,Saturday,0,49.6
2,10.7,08:50,Friday,2,58.8
1,15.7,11:11,Wednesday,0,18.2
4,17.9,16:04,Thursday,1,87.8
5,15.2,09:07,Wednesday,0,86.8
4,17.7,17:55,Saturday,0,88.8
2,9.9,14:19,Wednesday,1,42.5
4,7.3,17:24,Monday,0,36.2
7,11.8,15:18,Wednesday,1,134.6
5,14.4,17:38,Thursday,0,90.2
3,6.4,14:39,Thursday,0,17.8
2,9.2,10:40,Thursday,0,25.0
4,9.6,16:00,Sunday,1,44.9
6,13.1,10:15,Wednesday,0,81.1
3,12.7,13:39,Saturday,0,40.8
4,9.7,11:43,Sunday,0,40.4
5,12.5,15:59,Saturday,0,53.9
5,8.6,15:35,Thursday,0,49.4
3,10.7,16:38,Sunday,0,27.2
3,8.2,10:28,Wednesday,0,31.9
3,11.5,17:58,Tuesday,0,37.1
5,9.6,16:03,Saturday,0,34.6
3,14.1,11:52,Sunday,0,38.8
5,11.9,09:16,Monday,0,68.0
3,11.3,11:29,Wednesday,0,34.9
5,17.3,09:03,Wednesday,1,133.2
6,13.1,14:09,Saturday,1,107.5
11,10.9,09:07,Tuesday,2,144.4
3,10.2,12:18,Friday,0,34.3
6,8.5,14:40,Sunday,0,48.5
3,11.8,12:31,Sunday,0,28.3
8,12.9,16:48,Sunday,0,88.2
8,6.3,10:24,Thursday,0,59.2
4,7.9,13:14,Friday,0,42.9
1,10.5,17:07,Saturday,0,10.8
3,8.7,11:31,Wednesday,0,28.9
4,12.1,12:43,Thursday,0,61.1
4,12.5,17:19,Thursday,1,80.3
4,11.6,12:59,Saturday,0,34.8
5,13.7,16:38,Thursday,0,79.8
6,10.2,17:24,Thursday,0,55.8
8,11.9,10:33,Thursday,0,131.9
3,9.0,15:51,Tuesday,1,48.2
4,12.9,14:32,Tuesday,1,89.8
4,12.2,17:52,Saturday,0,38.1
8,8.4,13:51,Monday,0,98.5
2,11.5,15:55,Friday,0,29.3
6,11.9,11:27,Sunday,0,44.2
3,12.8,14:03,Friday,0,50.8
2,13.0,15:47,Friday,0,34.0
5,9.8,17:40,Saturday,0,34.5
3,14.3,10:31,Tuesday,0,56.9
8,13.6,08:47,Monday,0,138.1
2,9.8,17:45,Sunday,0,21.0
4,8.6,14:01,Wednesday,0,40.2
5,10.1,08:10,Wednesday,0,55.1
2,7.6,13:11,Tuesday,0,20.9
5,12.6,17:21,Saturday,0,31.7
2,15.6,17:50,Monday,0,36.5
2,16.3,11:15,Tuesday,1,62.7
3,8.7,15:49,Tuesday,0,22.7
5,14.4,12:35,Sunday,0,78.9
3,12.3,11:58,Sunday,0,36.8
5,5.0,15:34,Monday,0,34.0
2,11.0,10:41,Monday,0,32.4
4,10.7,12:15,Sunday,0,39.8
4,15.6,10:27,Friday,0,77.5
2,9.4,09:25,Saturday,0,20.5
4,13.7,11:47,Thursday,1,84.8
1,11.7,17:35,Tuesday,0,7.7
4,7.7,12:11,Saturday,1,40.7
3,10.3,14:49,Tuesday,0,39.6
14,16.6,10:51,Monday,1,375.3
10,11.5,16:39,Saturday,1,113.6
5,14.7,14:14,Wednesday,0,79.7
3,14.6,17:30,Monday,1,63.9
4,10.7,11:15,Thursday,0,60.8
3,8.1,13:22,Monday,0,36.2
3,8.5,09:54,Thursday,0,34.8
4,16.4,09:21,Friday,0,92.0
1,12.5,13:51,Wednesday,0,13.2
10,6.8,16:02,Monday,0,81.5
4,14.5,09:59,Sunday,0,52.3
6,6.6,15:01,Thursday,0,51.4
3,9.5,14:42,Monday,0,33.8
1,12.2,12:49,Friday,0,17.4
6,19.6,15:40,Sunday,1,136.3
2,14.4,13:56,Monday,0,36.3
1,10.6,17:27,Saturday,2,24.0
6,12.1,15:38,Wednesday,0,89.7
2,14.8,16:51,Friday,0,43.6
6,16.3,11:36,Monday,1,155.3
2,11.3,16:06,Sunday,2,43.5
5,11.3,17:55,Sunday,0,43.2
4,9.5,09:38,Thursday,0,44.5
2,14.0,13:06,Tuesday,0,34.1
8,15.1,16:37,Tuesday,0,137.2
3,6.2,11:57,Friday,0,31.4
4,10.8,13:04,Saturday,0,46.6
3,8.4,15:28,Friday,1,33.5
5,12.5,16:14,Thursday,2,107.7
4,8.3,09:59,Saturday,0,38.1
3,8.0,11:54,Saturday,0,27.7
2,15.4,11:56,Wednesday,1,55.7
5,11.5,09:31,Saturday,0,47.2
6,11.8,08:54,Tuesday,0,72.3
5,13.3,15:26,Saturday,1,77.7
3,14.9,16:31,Thursday,0,47.9
8,10.7,17:31,Saturday,0,71.7
5,10.8,17:33,Friday,0,71.1
5,10.8,17:56,Monday,1,88.5
4,15.2,08:49,Saturday,1,85.4
4,11.8,11:58,Saturday,0,44.0
4,11.1,08:49,Monday,0,49.9
1,13.2,14:46,Tuesday,0,17.0
3,17.5,17:43,Saturday,0,51.1
2,12.2,08:22,Wednesday,0,26.6
6,11.2,13:15,Monday,2,133.3
5,17.8,13:19,Saturday,0,115.8
3,16.0,09:37,Thursday,1,70.4
2,15.6,16:20,Wednesday,0,39.1
3,10.5,11:56,Thursday,0,41.3
2,10.2,12:12,Wednesday,0,25.6
1,6.5,17:37,Monday,0,10.3
3,14.9,10:28,Thursday,0,47.4
4,12.2,11:51,Sunday,0,41.1
6,6.6,15:42,Sunday,0,39.5
2,15.6,12:47,Friday,0,33.3
2,11.0,14:02,Tuesday,0,30.2
4,11.4,12:46,Tuesday,0,51.9
3,7.5,10:49,Wednesday,1,42.4
3,13.5,09:37,Monday,0,50.3
3,13.5,16:30,Monday,0,61.3
2,11.9,10:45,Saturday,0,23.2
3,10.7,17:58,Thursday,0,33.0
9,19.9,08:06,Saturday,0,185.3
3,8.4,16:49,Monday,0,33.3
5,9.8,17:28,Monday,0,60.7
4,14.1,08:35,Friday,0,60.9
8,9.0,14:16,Tuesday,0,88.2
7,8.7,15:49,Tuesday,1,109.9
5,15.4,14:09,Friday,0,80.2
3,13.8,16:48,Sunday,0,29.4
4,13.5,09:19,Wednesday,1,87.1
4,12.5,17:29,Saturday,0,54.4
4,9.9,13:30,Wednesday,1,55.0
3,11.2,11:26,Saturday,0,26.1
4,11.8,13:15,Wednesday,0,67.8
6,14.5,11:23,Tuesday,1,114.0
9,13.3,12:33,Thursday,1,155.8
9,9.2,09:33,Wednesday,0,94.9
7,14.4,16:26,Tuesday,0,103.1
1,7.0,11:53,Tuesday,1,20.8
6,11.0,12:40,Wednesday,1,96.7
3,8.6,17:05,Monday,1,38.8
4,9.4,17:04,Monday,0,43.2
3,17.8,15:52,Friday,0,75.2
3,7.6,08:18,Monday,0,27.1
5,9.5,17:03,Saturday,0,49.0
1,13.5,09:53,Sunday,0,12.4
8,10.6,12:22,Tuesday,1,99.5
6,12.5,17:01,Monday,0,103.1
3,16.3,08:57,Tuesday,0,64.3
2,14.0,09:19,Monday,0,43.6
5,10.6,13:45,Tuesday,0,54.0
2,11.6,12:40,Sunday,1,18.3
2,13.6,11:53,Saturday,0,31.1
4,13.9,16:05,Sunday,0,46.0
4,12.1,16:56,Saturday,0,35.0
2,13.1,17:54,Saturday,0,24.1
4,13.1,09:13,Friday,1,72.1
0,11.7,14:45,Monday,0,0.0
2,10.2,16:42,Saturday,0,19.1
4,14.2,10:24,Friday,1,93.6
3,12.9,12:48,Sunday,0,39.6
1,5.8,08:04,Friday,0,7.0
8,9.5,09:20,Thursday,0,90.3
2,10.6,09:15,Saturday,0,14.7
3,11.4,15:04,Friday,0,42.7
3,15.6,14:13,Monday,0,67.9
1,21.6,08:23,Friday,0,23.2
8,5.0,13:57,Wednesday,1,50.1
8,12.9,08:40,Tuesday,0,106.5
4,12.2,10:01,Tuesday,0,57.0
4,11.5,17:00,Saturday,0,49.2
4,13.6,12:28,Friday,0,83.8
1,12.4,15:48,Monday,0,20.6
7,10.9,11:08,Wednesday,0,74.3
3,12.1,09:06,Friday,0,37.1
4,13.7,16:52,Thursday,0,66.0
4,13.4,09:38,Saturday,0,62.0
8,12.6,11:29,Friday,0,114.2
2,10.2,15:00,Monday,0,28.8
5,20.5,13:55,Sunday,0,84.0
3,13.1,17:16,Thursday,0,44.4
1,14.3,17:52,Sunday,0,10.3
2,10.5,09:27,Tuesday,1,38.0
8,12.6,10:15,Friday,0,104.7
2,12.5,14:23,Monday,1,43.8
6,6.3,09:28,Tuesday,0,61.9
5,9.9,13:25,Sunday,1,59.6
3,9.8,11:43,Sunday,0,38.3
2,10.2,16:52,Sunday,0,22.7
3,8.8,17:10,Tuesday,0,23.8
2,12.1,10:35,Sunday,0,24.2
5,16.2,08:57,Monday,1,104.1
3,12.4,17:54,Wednesday,0,38.0
5,8.5,09:29,Thursday,2,49.9
5,8.9,09:44,Saturday,0,32.6
6,10.9,10:31,Friday,0,72.3
2,7.8,11:24,Wednesday,1,26.4
3,12.9,09:28,Tuesday,0,46.0
0,16.1,11:13,Wednesday,0,0.0
0,10.3,08:13,Wednesday,0,0.4
3,12.2,16:00,Friday,0,50.6
3,10.7,10:38,Monday,0,45.1
2,10.1,16:10,Wednesday,0,22.9
7,12.6,14:28,Friday,0,117.4
2,10.0,12:48,Friday,0,22.0
4,9.6,17:43,Friday,0,48.6
3,7.1,11:52,Wednesday,1,30.1
6,12.2,09:47,Thursday,1,117.2
3,15.2,13:46,Monday,0,70.4
4,14.1,09:24,Thursday,0,68.1
5,16.5,10:46,Sunday,0,85.8
2,10.0,17:04,Saturday,1,28.0
7,14.6,16:55,Friday,1,121.5
4,8.7,12:39,Wednesday,0,38.5
5,14.1,12:46,Sunday,0,89.2
5,16.9,13:40,Thursday,0,106.6
1,13.5,08:50,Saturday,0,9.2
3,17.0,10:31,Friday,0,67.0
4,10.2,13:47,Monday,0,60.4
3,11.6,11:12,Friday,1,56.6
4,9.3,10:08,Sunday,1,36.6
4,12.1,14:28,Saturday,0,55.6
6,12.8,13:39,Friday,1,129.8
3,12.1,11:16,Monday,0,52.2
4,10.6,17:22,Monday,2,80.0
2,10.5,15:46,Saturday,1,27.5
4,13.0,13:57,Thursday,0,68.3
2,11.5,10:05,Thursday,0,24.5
0,8.5,14:28,Friday,0,0.0
5,6.3,14:52,Sunday,0,35.7
5,10.2,13:48,Thursday,0,55.5
3,7.9,14:22,Thursday,0,22.2
4,9.5,09:37,Thursday,2,75.7
3,10.7,11:20,Thursday,0,30.7
4,11.6,16:54,Friday,1,63.8
8,10.0,09:22,Tuesday,0,81.0
4,18.6,13:53,Wednesday,0,84.0
3,8.2,16:58,Thursday,0,35.4
7,15.6,08:08,Thursday,0,115.1
6,11.5,17:40,Thursday,0,77.9
3,10.0,16:50,Wednesday,1,49.3
4,13.8,15:09,Sunday,0,47.2
4,10.6,15:05,Saturday,0,50.1
3,9.6,16:40,Sunday,0,27.3
2,17.4,09:42,Friday,1,68.1
3,5.4,14:59,Thursday,0,17.3
0,11.3,11:26,Thursday,0,1.3
2,12.6,16:45,Sunday,0,22.4
7,16.2,13:19,Friday,0,168.1
4,10.8,15:39,Saturday,0,39.4
5,20.0,09:40,Saturday,0,126.9
5,14.3,10:25,Sunday,0,70.6
2,5.0,16:22,Thursday,1,16.6
3,7.6,11:57,Wednesday,0,27.5
1,12.7,13:16,Sunday,0,12.7
6,8.6,15:15,Tuesday,0,59.3
5,13.6,09:41,Wednesday,0,84.3
6,10.6,11:01,Sunday,0,61.2
5,8.4,11:15,Friday,0,65.7
2,9.1,17:10,Friday,0,19.6
3,14.6,09:22,Thursday,0,48.1
5,5.9,11:42,Thursday,0,34.5
3,15.1,17:35,Sunday,1,69.2
2,15.2,16:20,Wednesday,1,41.9
4,11.0,14:42,Thursday,0,54.0
5,7.8,13:29,Monday,0,57.6
2,13.7,16:23,Monday,0,31.0
4,10.5,17:27,Tuesday,1,80.8
1,7.5,17:14,Wednesday,0,5.3
4,17.7,14:23,Wednesday,0,87.2
7,9.3,15:16,Friday,0,98.1
6,7.6,15:45,Thursday,1,58.8
5,12.9,16:05,Monday,0,86.2
0,11.8,15:19,Thursday,1,12.9
1,16.5,09:47,Monday,0,21.4
2,10.9,15:35,Thursday,0,29.0
8,10.9,11:54,Monday,1,132.9
4,13.0,09:59,Monday,0,48.2
3,12.6,09:01,Saturday,0,35.3
5,12.7,10:24,Monday,0,86.1
2,12.8,13:04,Sunday,1,39.6
6,12.5,10:28,Thursday,1,100.4
3,10.8,14:39,Saturday,0,29.1
5,14.5,17:38,Tuesday,0,79.2
4,10.9,08:26,Thursday,0,58.7
7,14.4,09:18,Sunday,0,89.5
2,16.2,10:28,Monday,0,46.9
2,10.0,16:02,Thursday,0,19.8
4,19.2,10:42,Monday,0,101.5
2,9.9,09:54,Wednesday,0,19.6
4,9.9,09:31,Sunday,0,43.3
4,13.6,09:29,Thursday,0,48.7
5,13.3,15:11,Wednesday,0,83.1
2,12.2,15:04,Friday,1,47.9
5,14.5,11:06,Tuesday,0,94.4
4,12.8,12:29,Monday,0,55.2
4,18.2,14:16,Thursday,0,67.3
6,11.8,17:45,Saturday,1,76.9
4,9.4,15:25,Tuesday,1,51.9
5,10.3,16:01,Monday,0,63.4
5,13.4,17:46,Friday,0,71.1
2,13.5,11:48,Wednesday,0,28.9
8,12.6,08:41,Sunday,1,78.1
2,9.5,15:28,Wednesday,0,22.3
4,15.3,09:12,Wednesday,0,50.7
6,17.8,12:23,Thursday,0,124.9
4,12.1,15:23,Sunday,1,51.1
4,17.4,13:35,Friday,1,113.7
7,14.6,11:40,Friday,1,192.2
4,18.7,13:08,Saturday,1,85.3
3,13.4,10:27,Saturday,0,42.6
3,12.4,08:44,Thursday,0,41.9
2,14.5,12:07,Wednesday,1,57.7
3,10.7,08:34,Tuesday,0,35.5
5,13.2,17:47,Thursday,0,85.0
4,16.0,12:28,Friday,0,90.3
3,14.5,16:49,Wednesday,0,52.8
2,11.9,17:31,Thursday,0,20.7
5,12.6,12:29,Thursday,0,79.4
4,14.3,12:12,Friday,0,70.0
2,14.2,16:56,Saturday,0,23.0
5,14.3,08:20,Thursday,0,69.9
3,13.0,12:52,Thursday,0,48.5
5,9.5,10:41,Wednesday,0,59.7
7,10.0,15:31,Wednesday,0,92.6
1,13.4,16:22,Friday,0,18.7
3,14.5,14:12,Friday,0,58.1
5,14.1,12:04,Thursday,1,105.5
3,10.0,13:32,Wednesday,0,35.8
5,11.5,13:44,Sunday,1,66.3
4,8.5,14:21,Saturday,0,31.4
3,7.8,17:13,Saturday,0,20.3
2,12.2,10:29,Saturday,1,38.7
4,16.1,10:00,Thursday,0,89.0
3,12.3,09:54,Friday,0,43.6
5,17.7,14:58,Tuesday,0,101.1
4,11.5,17:02,Saturday,0,49.8
3,12.1,11:16,Monday,0,39.7
5,9.0,12:12,Thursday,0,63.1
8,11.0,17:40,Tuesday,0,80.0
1,8.4,09:27,Friday,0,11.9
3,7.4,16:47,Tuesday,1,32.3
6,8.5,17:35,Sunday,0,46.3
4,12.3,15:59,Monday,0,80.3
5,9.8,11:21,Saturday,0,44.4
5,10.5,14:32,Friday,0,59.3
4,13.2,10:54,Sunday,0,51.3
1,7.4,09:12,Wednesday,0,12.8
8,12.2,09:04,Friday,0,116.4
3,14.5,08:05,Monday,0,53.8
2,14.8,17:47,Friday,0,34.0
0,13.5,14:33,Thursday,2,28.9
6,11.8,11:12,Saturday,0,75.0
5,10.1,13:47,Saturday,0,50.5
4,11.8,14:11,Thursday,0,67.2
1,17.0,09:49,Wednesday,1,42.8
1,12.8,10:53,Friday,0,12.1
4,11.7,13:28,Sunday,0,44.6
3,13.7,16:23,Wednesday,0,49.7
5,12.1,09:17,Saturday,1,58.5
7,12.7,16:35,Thursday,0,85.2
2,11.3,14:05,Sunday,0,20.7
1,10.8,12:53,Friday,0,15.1
2,15.0,09:26,Friday,0,40.0
2,6.1,13:29,Friday,0,16.8
5,13.4,11:32,Saturday,0,94.6
2,10.6,09:53,Sunday,0,17.2
2,6.3,16:47,Wednesday,0,16.2
3,9.1,12:36,Saturday,0,24.4
4,11.9,08:47,Friday,0,66.1
4,12.3,11:01,Friday,0,72.1
3,14.2,09:48,Tuesday,0,55.7
4,14.4,17:23,Thursday,1,59.5
2,7.4,10:25,Tuesday,0,20.2
2,13.1,13:03,Monday,0,34.5
6,14.2,15:27,Sunday,1,100.4
5,12.7,09:35,Saturday,0,47.0
10,13.5,12:22,Thursday,0,173.6
6,6.2,14:31,Thursday,1,50.6
2,9.0,16:49,Monday,0,20.7
4,16.1,14:32,Wednesday,0,84.2
6,11.2,08:48,Tuesday,0,76.4
4,18.7,11:12,Thursday,0,88.0
0,8.2,11:30,Thursday,0,2.2
4,16.7,11:52,Sunday,0,84.9
4,10.2,17:24,Saturday,1,49.0
1,14.6,08:21,Friday,0,11.1
3,11.1,11:01,Sunday,0,24.2
3,12.3,12:55,Wednesday,0,46.7
4,13.8,08:51,Monday,1,97.5
4,10.2,12:50,Thursday,0,51.6
6,14.4,09:04,Monday,1,136.0
3,11.2,16:22,Sunday,1,40.2
9,12.5,10:42,Monday,1,189.1
5,5.0,13:13,Saturday,0,28.9
7,11.0,14:10,Friday,0,87.7
2,15.8,11:03,Tuesday,1,63.0
5,14.1,11:30,Thursday,0,69.7
5,14.7,13:06,Thursday,0,96.5
2,12.2,16:03,Saturday,0,22.7
6,17.0,12:31,Wednesday,0,129.9
4,12.9,12:54,Friday,1,87.5
3,10.0,13:57,Wednesday,0,38.5
4,14.6,12:15,Monday,1,119.5
4,14.8,15:15,Friday,0,74.0
2,13.9,08:02,Tuesday,0,31.8
4,10.8,12:49,Tuesday,0,65.2
1,12.8,17:13,Wednesday,0,19.7
9,16.2,14:09,Thursday,0,179.0
3,13.4,12:51,Friday,0,49.8
3,7.6,15:43,Saturday,0,20.9
7,10.1,11:55,Friday,0,96.6
0,10.0,12:40,Wednesday,0,0.0
5,9.7,09:57,Sunday,0,32.0
2,5.7,09:14,Thursday,1,22.3
2,17.7,08:15,Tuesday,3,110.2
4,9.4,15:18,Saturday,0,44.2
3,9.6,12:40,Sunday,0,34.5
3,6.2,17:23,Wednesday,0,20.7
4,14.6,09:46,Tuesday,0,72.2
0,11.7,10:26,Wednesday,0,3.0
5,10.9,14:23,Wednesday,0,57.1
4,11.1,08:32,Tuesday,1,60.2
5,13.8,13:02,Monday,1,118.0
3,10.6,09:14,Tuesday,1,55.2
4,6.0,09:36,Wednesday,1,31.7
4,8.1,13:07,Tuesday,1,49.0
3,8.0,13:41,Tuesday,0,29.7
2,12.8,10:07,Sunday,0,25.6
4,14.8,10:42,Tuesday,0,73.1
5,16.4,10:50,Saturday,1,78.4
6,7.1,09:25,Friday,0,42.2
1,13.9,17:39,Thursday,0,15.3
7,10.2,14:55,Saturday,1,85.2
3,20.8,09:06,Monday,1,106.2
4,16.2,11:34,Saturday,0,62.6
4,17.1,09:43,Wednesday,0,85.9
1,14.4,10:20,Saturday,0,15.4
4,13.1,17:23,Sunday,1,60.4
2,10.8,09:22,Saturday,2,43.5
3,10.2,16:47,Monday,0,46.5
9,9.6,16:25,Sunday,0,64.9
5,13.9,15:26,Saturday,0,65.1
1,16.7,12:58,Monday,1,46.3
7,10.9,10:35,Tuesday,0,109.3
4,9.8,16:18,Sunday,0,33.5
3,7.5,16:20,Saturday,1,25.5
5,12.7,13:15,Wednesday,0,78.5
3,15.7,08:28,Sunday,0,41.4
3,15.8,09:55,Thursday,1,84.1
4,16.1,08:33,Sunday,0,52.3
3,13.2,09:47,Friday,1,58.0
3,12.3,13:05,Friday,0,43.3
2,15.8,16:32,Monday,0,39.3
6,8.7,14:31,Sunday,0,70.8
5,10.7,14:00,Tuesday,0,72.4
4,17.1,15:28,Tuesday,0,90.9
2,8.8,14:23,Thursday,0,21.5
2,11.9,12:26,Saturday,0,25.7
7,13.9,16:09,Saturday,0,106.0
6,12.2,11:06,Friday,0,99.2
4,15.4,17:16,Sunday,0,57.1
0,16.6,09:09,Friday,0,0.0
1,13.4,14:22,Tuesday,0,16.2
5,16.2,13:00,Saturday,1,109.3
5,9.2,12:15,Tuesday,1,72.8
2,11.5,12:17,Thursday,0,36.0
5,19.2,08:25,Friday,0,123.9
6,17.8,15:30,Wednesday,0,115.0
3,8.2,11:31,Wednesday,1,34.2
2,12.0,12:45,Tuesday,0,30.0
7,12.4,16:28,Wednesday,0,83.8
8,13.2,13:46,Sunday,0,98.0
5,15.8,16:30,Wednesday,0,77.6
4,17.5,09:22,Thursday,0,75.1
4,12.1,10:49,Friday,1,72.9
2,15.4,10:16,Tuesday,0,38.3
1,13.9,16:51,Tuesday,0,15.6
7,11.9,15:48,Tuesday,0,90.5
5,6.9,16:20,Monday,0,51.3
2,15.1,13:41,Thursday,0,39.3
6,13.8,10:12,Monday,1,121.3
7,13.2,11:46,Wednesday,0,101.1
5,9.1,13:30,Thursday,0,46.5
6,17.9,08:11,Tuesday,0,95.6
4,12.5,14:23,Tuesday,0,71.9
4,8.6,16:32,Friday,0,45.3
3,8.1,11:15,Thursday,1,36.4
5,14.0,14:47,Saturday,2,121.1
5,14.1,12:50,Sunday,1,92.5
3,10.6,08:02,Tuesday,0,36.5
4,13.4,10:50,Wednesday,0,70.8
6,14.0,13:16,Thursday,0,112.7
4,12.4,15:14,Tuesday,0,63.2
1,9.9,12:01,Saturday,1,20.1
6,14.9,09:51,Monday,0,116.1
6,14.5,08:36,Wednesday,0,73.5
3,13.7,15:08,Sunday,1,45.8
2,9.5,11:39,Saturday,0,25.2
4,8.0,14:28,Thursday,0,35.2
4,12.2,10:13,Monday,1,64.8
3,14.8,15:32,Saturday,0,50.3
4,15.1,11:26,Thursday,0,76.0
4,13.8,08:31,Sunday,0,50.1
2,10.6,13:06,Saturday,0,22.1
6,9.6,15:18,Sunday,1,72.8
3,11.9,17:19,Monday,0,53.1
6,12.0,17:42,Sunday,1,65.4
0,15.3,12:33,Friday,0,1.9
4,10.6,14:07,Wednesday,0,59.2
4,10.8,13:34,Saturday,0,42.0
3,18.2,13:20,Thursday,0,80.4
6,16.7,09:08,Friday,0,133.1
2,9.4,14:42,Sunday,0,14.4
2,16.4,17:39,Friday,1,67.3
4,8.6,09:16,Friday,0,34.3
3,10.7,11:07,Sunday,0,27.6
2,11.0,08:46,Saturday,1,34.2
3,11.8,12:01,Friday,0,51.4
5,13.9,12:49,Sunday,1,84.4
4,12.3,11:34,Sunday,1,54.5
4,13.8,12:45,Friday,1,88.1
5,10.8,16:01,Monday,1,82.0
4,13.1,10:08,Friday,0,70.5
9,12.2,15:34,Wednesday,1,136.1
2,7.8,15:55,Friday,0,17.0
7,13.4,13:48,Wednesday,0,96.0
2,12.3,11:09,Wednesday,0,27.5
6,9.9,17:21,Sunday,0,50.4
4,10.7,11:38,Tuesday,0,47.9
4,10.8,08:29,Tuesday,0,37.7
2,11.3,09:21,Friday,0,29.8
4,17.3,16:54,Friday,0,69.9
0,18.3,09:29,Sunday,0,0.0
5,5.0,12:28,Monday,0,41.7
5,13.5,14:55,Sunday,0,73.4
1,14.9,13:44,Saturday,0,18.8
5,11.4,14:32,Tuesday,0,77.0
3,14.8,11:29,Saturday,0,54.7
3,17.0,14:37,Saturday,0,59.3
2,7.9,08:05,Monday,0,18.3
4,12.4,10:37,Monday,0,59.6
2,17.9,09:14,Friday,0,34.9
2,8.3,12:33,Friday,0,21.3
3,11.7,09:27,Sunday,0,25.7
2,10.7,13:28,Sunday,0,18.7
4,15.2,09:48,Monday,0,78.2
3,15.6,12:08,Sunday,1,74.9
7,12.5,08:44,Saturday,0,61.3
3,12.1,12:23,Friday,1,63.5
5,6.8,16:04,Wednesday,0,32.8
1,16.3,11:10,Friday,0,19.0
2,10.9,15:03,Thursday,0,29.3
2,11.6,12:15,Wednesday,0,25.8
1,14.9,10:20,Monday,0,19.3
2,12.6,11:02,Saturday,0,26.3
4,15.0,11:01,Wednesday,1,98.1
3,13.8,15:25,Tuesday,1,63.9
2,12.6,10:00,Wednesday,0,33.8
9,12.9,17:46,Monday,1,150.5
2,8.6,14:52,Wednesday,0,22.3
2,11.6,12:00,Saturday,0,23.6
8,15.3,17:58,Saturday,0,123.8
5,9.3,10:09,Monday,1,91.4
5,9.9,15:37,Wednesday,1,66.7
2,9.4,10:42,Friday,1,34.9
4,12.5,13:26,Sunday,0,46.5
4,16.2,08:32,Thursday,1,80.6
2,13.6,16:27,Sunday,0,21.8
5,5.5,11:39,Monday,1,46.2
2,13.9,13:50,Sunday,0,24.4
3,10.7,17:16,Tuesday,0,33.1
3,13.5,08:18,Saturday,1,23.7
3,11.6,17:40,Monday,0,50.0
4,9.4,13:15,Sunday,0,46.9
3,11.8,15:48,Tuesday,0,46.6
5,10.7,12:43,Wednesday,0,59.7
3,12.9,16:09,Friday,1,52.3
5,9.3,16:48,Monday,1,58.5
2,8.6,11:49,Thursday,0,23.2
5,14.2,15:13,Wednesday,0,97.9
5,15.3,17:59,Thursday,0,83.4
2,13.7,15:34,Wednesday,0,35.8
2,10.1,17:34,Saturday,0,19.8
4,9.8,15:21,Thursday,0,41.8
1,10.0,11:17,Saturday,0,13.3
3,14.7,16:16,Monday,0,63.8
2,9.5,14:39,Friday,0,21.3
4,14.7,08:19,Wednesday,1,87.6
3,13.9,09:43,Friday,0,48.9
8,15.7,10:36,Saturday,0,121.4
6,15.2,15:26,Friday,0,118.2
3,13.6,15:58,Wednesday,0,49.3
7,7.6,16:16,Tuesday,2,90.8
6,13.8,08:40,Sunday,0,61.7
4,12.3,08:43,Tuesday,0,60.7
6,10.9,10:59,Monday,1,91.8
5,16.1,14:48,Wednesday,0,95.0
9,11.5,16:25,Monday,1,148.2
7,10.4,16:41,Saturday,0,79.8
6,15.4,10:04,Sunday,0,85.4
4,10.8,15:40,Thursday,0,48.7
5,10.3,14:24,Friday,0,76.9
3,8.6,17:16,Sunday,0,20.9
7,9.5,15:43,Sunday,0,57.5
3,9.8,13:17,Monday,0,33.9
3,13.9,15:49,Monday,0,54.1
5,8.9,11:04,Wednesday,0,47.5
1,6.4,15:51,Tuesday,0,7.1
4,12.9,15:48,Tuesday,0,64.8
2,10.1,16:33,Tuesday,0,20.5
5,12.0,10:25,Saturday,0,52.2
5,15.8,16:29,Tuesday,0,74.8
2,12.2,09:41,Thursday,0,25.9
3,16.5,15:43,Monday,0,59.5
3,11.8,17:17,Friday,1,69.2
5,15.0,08:21,Saturday,0,85.6
5,10.4,14:15,Friday,0,77.2
5,12.3,14:35,Tuesday,0,66.8
6,9.2,16:09,Monday,0,71.2
5,9.6,09:01,Wednesday,0,44.1
8,11.3,17:05,Saturday,0,109.6
1,8.0,17:56,Monday,0,12.3
5,12.5,14:43,Saturday,0,54.4
6,11.1,12:17,Sunday,1,81.5
6,12.7,14:21,Friday,0,81.2
5,8.1,08:32,Saturday,0,36.3
3,14.1,15:31,Tuesday,0,51.1
3,17.1,08:41,Friday,1,85.8
3,16.5,11:13,Saturday,0,58.1
4,17.7,09:23,Saturday,0,67.7
3,12.1,15:15,Friday,1,58.9
4,10.9,13:56,Tuesday,0,35.7
2,13.5,14:59,Sunday,0,32.2
3,11.3,08:38,Friday,0,35.3
2,6.8,11:42,Monday,0,19.4
6,14.5,12:03,Friday,0,142.2
2,11.3,14:01,Sunday,1,27.4
5,7.6,09:01,Monday,0,48.3
